        ID          Time           Lat P        Lat M       Lon P       Lon M          Area         Flux         Max B       Mean B       Tilt          Pos          D             Lifetime
       10213       2450656.9      24.1494      25.1382     -50.7205     -55.5224      1823.81  1.79237e+22      1027.28      326.126      12.7648      1.00000      54385.1       0
       10213       2450657.0      24.1839      25.1052     -49.8986     -54.6328      1837.01  1.75468e+22      999.206      317.417      12.0838      1.00000      53477.4     0.066666667
       10213       2450657.0      24.1836      25.0742     -48.9545     -53.7244      1770.55  1.72316e+22      961.995      323.360      11.6063      1.00000      53793.0      0.13454861
       10213       2450657.1      24.1905      25.0861     -48.1152     -52.8361      1735.71  1.68849e+22      881.517      323.284      11.7882      1.00000      53272.0      0.20121528
       10213       2450657.2      24.2256      24.9844     -47.2913     -51.9842      1831.83  1.71320e+22      869.302      310.976      10.0835      1.00000      52665.8      0.26736111
       10213       2450657.2      24.2423      25.0197     -46.4567     -51.1149      1828.58  1.66066e+22      869.704      301.684      10.4030      1.00000      52318.6      0.33402778
       10213       2450657.3      24.2756      25.0184     -45.5875     -50.2638      1816.87  1.61464e+22      913.019      295.048      9.91292      1.00000      52435.7      0.40069444
       10213       2450657.4      24.2941      25.0476     -44.6973     -49.4038      1825.68  1.60250e+22      927.854      291.215      9.99123      1.00000      52776.6      0.46736111
       10213       2450657.4      24.3419      25.1154     -43.9120     -48.5599      1741.86  1.51382e+22      956.094      288.505      10.3818      1.00000      52159.1      0.53402778
       10213       2450657.5      24.3527      25.1292     -43.0039     -47.6723      1750.82  1.48506e+22      916.257      282.021      10.3784      1.00000      52382.7      0.60069444
       10213       2450657.6      24.4202      25.1329     -42.2347     -46.8102      1711.99  1.43512e+22      896.733      278.855      9.73512      1.00000      51223.4      0.66736111
       10213       2450657.6      24.4109      25.1403     -41.2487     -45.9426      1739.83  1.42822e+22      948.561      272.833      9.71097      1.00000      52545.9      0.73402778
       10213       2450657.7      24.4776      25.1175     -40.4486     -45.0377      1719.75  1.40774e+22      840.156      272.129      8.73154      1.00000      51221.7      0.80069444
       10213       2450657.8      24.4264      25.1344     -39.5138     -44.1392      1665.30  1.35922e+22      818.740      271.448      9.56923      1.00000      51754.9      0.86788194
       10213       2450657.9      24.5052      25.1393     -37.8194     -42.4111      1566.05  1.28575e+22      785.571      273.033      8.65047      1.00000      51230.2       1.0012153
       10213       2450658.0      24.4977      25.1508     -36.0475     -40.6592      1536.73  1.23038e+22      803.118      266.570      8.86833      1.00000      51481.4       1.1345486
       10213       2450658.2      24.5601      25.2085     -34.3387     -38.9661      1540.94  1.18315e+22      737.456      255.734      8.78069      1.00000      51619.4       1.2673611
       10213       2450658.2      24.5024      25.2263     -33.4123     -38.0734      1484.88  1.13375e+22      684.340      254.305      9.71359      1.00000      52141.3       1.3340278
       10213       2450658.3      24.4757      25.2280     -32.4938     -37.2260      1484.68  1.12270e+22      640.755      251.763      9.93710      1.00000      52978.5       1.4006944
       10213       2450658.4      24.5001      25.2288     -31.6281     -36.3430      1423.95  1.06891e+22      663.408      249.890      9.66725      1.00000      52736.0       1.4673611
       10213       2450658.4      24.5015      25.2119     -30.7899     -35.4506      1417.30  1.04746e+22      685.148      246.002      9.53564      1.00000      52113.6       1.5340278
       10213       2450658.5      24.4804      25.2299     -29.8499     -34.6005      1392.63  1.01716e+22      696.594      243.108      9.86343      1.00000      53172.0       1.6006944
       10213       2450658.6      24.4796      25.2325     -28.9541     -33.7164      1338.30  9.92624e+21      706.856      246.857      9.88318      1.00000      53304.6       1.6673611
       10213       2450658.6      24.5064      25.2539     -28.0893     -32.8409      1338.25  9.83313e+21      739.629      244.624      9.83777      1.00000      53166.6       1.7345486
       10213       2450658.7      24.5168      25.2613     -27.1796     -31.9725      1329.44  9.68438e+21      745.539      242.520      9.71571      1.00000      53606.6       1.8012153
       10213       2450658.8      24.5159      25.2614     -26.3022     -31.1578      1274.16  9.34597e+21      729.681      243.980      9.60640      1.00000      54290.3       1.8673611
       10213       2450658.8      24.4635      25.2883     -25.3657     -30.2067      1272.99  9.26348e+21      766.448      241.864      10.6369      1.00000      54305.8       1.9345486
       10213       2450658.9      24.5540      25.2944     -24.4711     -29.3432      1240.25  8.99215e+21      728.997      241.006      9.51271      1.00000      54443.6       2.0012153
       10213       2450659.0      24.5724      25.3209     -23.5642     -28.4953      1212.28  8.89970e+21      772.423      244.026      9.50365      1.00000      55091.8       2.0678819
       10213       2450659.0      24.5585      25.3108     -22.6773     -27.5989      1162.55  8.52971e+21      814.237      243.896      9.56799      1.00000      55000.3       2.1345486
       10213       2450659.1      24.5453      25.3132     -21.7847     -26.7639      1121.72  8.28291e+21      805.104      245.529      9.65257      1.00000      55660.7       2.2006944
       10213       2450659.2      24.5607      25.3349     -20.9080     -25.8932      1086.98  8.12923e+21      758.971      248.697      9.71968      1.00000      55730.8       2.2673611
       10213       2450659.2      24.5946      25.3606     -19.9880     -24.9843      1071.34  8.02269e+21      725.592      249.046      9.59959      1.00000      55821.1       2.3340278
       10213       2450659.3      24.6731      25.3473     -19.1847     -24.1214      1052.62  7.80832e+21      735.585      246.742      8.56929      1.00000      54982.4       2.4006944
       10213       2450659.4      24.6985      25.3830     -18.3098     -23.1831      997.628  7.57625e+21      713.211      252.513      8.81329      1.00000      54297.8       2.4673611
       10213       2450659.4      24.6612      25.3943     -17.3696     -22.3062      981.702  7.43945e+21      672.120      251.970      9.30797      1.00000      55084.4       2.5340278
       10213       2450659.5      24.6791      25.4060     -16.5152     -21.4406      967.228  7.40215e+21      689.337      254.393      9.25235      1.00000      54943.5       2.6006944
       10213       2450659.6      24.6497      25.3920     -15.5884     -20.5665      958.260  7.20868e+21      689.110      250.216      9.34367      1.00000      55556.7       2.6678819
       10213       2450659.6      24.6432      25.4665     -14.6342     -19.6845      947.213  7.11232e+21      688.376      250.004      10.2020      1.00000      56492.4       2.7345486
       10213       2450659.7      24.6363      25.3869     -13.7114     -18.8135      906.280  6.89682e+21      692.187      253.377      9.22047      1.00000      56924.1       2.8012153
       10213       2450659.8      24.6808      25.4110     -12.8474     -17.9680      892.089  6.81345e+21      713.648      254.385      8.94547      1.00000      57071.3       2.8678819
       10213       2450659.8      24.7213      25.4245     -11.9408     -17.1057      864.071  6.63723e+21      745.039      255.979      8.54771      1.00000      57491.1       2.9345486
       10213       2450659.9      24.8091      25.4700     -11.1490     -16.1708      836.528  6.45861e+21      736.031      257.243      8.27144      1.00000      55828.4       3.0006944
       10213       2450660.0      24.8126      25.4170     -10.2931     -15.2742      828.202  6.37733e+21      736.820      256.581      7.63280      1.00000      55301.4       3.0673611
       10213       2450660.0      24.8498      25.4606     -9.46062     -14.4399      818.754  6.22702e+21      706.603      253.569      7.71878      1.00000      55272.6       3.1340278
       10213       2450660.1      24.8460      25.4685     -8.61430     -13.5691      854.188  6.12130e+21      666.035      238.940      7.90198      1.00000      55024.5       3.2006944
       10213       2450660.2      24.8862      25.4687     -7.77211     -12.6814      848.669  5.95416e+21      617.982      233.986      7.46962      1.00000      54455.3       3.2673611
       10213       2450660.3      24.9536      25.5101     -6.11033     -10.9248      849.216  5.68581e+21      582.418      223.264      7.28227      1.00000      53356.7       3.4006944
       10213       2450660.6      24.7813      25.5232     -2.49854     -7.45170      864.701  5.39286e+21      594.869      207.880      9.39563      1.00000      55226.6       3.6673611
       10213       2450660.6      24.7099      25.5414     -1.65224     -6.80101      928.686  5.63681e+21      590.623      202.289      10.1140      1.00000      57544.4       3.7345486
       10213       2450660.7      24.7164      25.5234    -0.817195     -5.94414      956.482  5.60778e+21      560.047      195.431      9.86253      1.00000      57258.6       3.8012153
       10213       2450660.8      24.7163      25.4963    0.0336240     -5.01487      946.858  5.58281e+21      524.091      196.528      9.68219      1.00000      56358.6       3.8678819
       10213       2450660.8      24.7342      25.5126     0.949415     -4.13907      937.749  5.58134e+21      510.327      198.375      9.58995      1.00000      56781.1       3.9345486
       10213       2450660.9      24.8341      25.4877      1.75856     -3.11363      876.780  5.26913e+21      493.622      200.299      8.43025      1.00000      54177.8       4.0006944
       10213       2450661.0      24.7980      25.5431      2.62539     -2.24926      894.827  5.28983e+21      481.785      197.048      9.58638      1.00000      54373.9       4.0673611
       10213       2450661.0      24.8317      25.5870      3.51806     -1.38406      877.995  5.20561e+21      474.852      197.619      9.66461      1.00000      54675.8       4.1340278
       10213       2450661.1      24.8290      25.6194      4.38970    -0.524080      898.544  5.24139e+21      472.682      194.430      10.0813      1.00000      54869.2       4.2006944
       10213       2450661.2      24.8621      25.6176      5.25060     0.330888      897.990  5.16125e+21      503.415      191.581      9.63625      1.00000      54853.9       4.2673611
       10213       2450661.3      25.2425      25.6071      6.86287      2.08390      854.585  4.91860e+21      483.343      191.908      4.82866      1.00000      52640.0       4.4006944
       10213       2450661.4      25.3060      25.6039      7.67124      2.91812      841.736  4.80841e+21      517.691      190.472      3.97057      1.00000      52281.0       4.4673611
       10213       2450661.5      25.3294      25.6549      9.42418      4.53938      845.572  4.83345e+21      590.169      190.685      4.22221      1.00000      53729.5       4.6006944
       10213       2450661.6      25.3097      25.6935      10.3613      5.34176      869.832  5.00287e+21      588.152      191.887      4.84160      1.00000      55255.9       4.6673611
       10213       2450661.6      25.2289      25.7013      11.2003      6.09269      901.146  5.11254e+21      577.757      189.250      5.84865      1.00000      56332.9       4.7345486
       10213       2450661.7      25.2093      25.7463      12.0856      6.87863      915.844  5.20550e+21      575.838      189.583      6.51675      1.00000      57496.1       4.8012153
       10213       2450661.8      25.1259      25.7239      13.0022      7.73141      934.580  5.20749e+21      558.501      185.896      7.16017      1.00000      58303.7       4.8678819
